By	Pth	Multipactor Order
0.001820	24843.300000	25.364700
0.001318	25155.800000	25.220700
0.002630	24843.300000	24.922100
0.007244	23280.700000	24.620200
0.001318	25468.300000	24.136500
0.002630	24843.300000	25.645900
0.001905	25155.800000	26.091700
0.002630	24843.300000	25.218100
0.005248	23905.700000	24.382000
0.000000	25780.800000	24.233700
0.001318	25155.800000	24.885100
0.007244	22968.200000	25.301700
0.001905	24843.300000	24.084900
0.002630	24843.300000	24.778200
0.003631	24218.200000	23.957900
0.005248	23905.700000	24.964900
0.007244	23280.700000	24.547000
0.000000	25780.800000	23.867700
0.001905	25155.800000	23.705700
0.005248	23905.700000	22.900900
0.001380	25468.300000	24.405100
0.002754	24530.800000	24.154000
0.003631	24218.200000	23.826100
0.000000	25780.800000	25.206000
0.001380	25468.300000	22.460900
0.005248	23593.200000	24.245000
0.001905	24843.300000	25.469900
0.007586	22968.200000	24.141700
0.005248	23905.700000	25.098500
0.007586	23280.700000	24.613100
0.003802	24218.200000	23.696200
0.002754	24530.800000	24.160000
0.001380	25468.300000	24.301200
0.007586	23280.700000	25.017200
0.002754	24843.300000	25.494500
0.001380	25155.800000	23.637300
0.003802	24218.200000	24.522300
0.001905	24843.300000	25.764300
0.007586	23280.700000	24.791500
0.002754	24530.800000	23.508000
0.001380	25155.800000	24.138900
0.003802	24218.200000	24.451900
0.005495	23593.200000	24.959300
0.002754	24530.800000	25.032700
0.001995	24843.300000	24.214900
0.000000	25780.800000	26.370600
0.001445	25468.300000	23.459800
0.005495	23593.200000	23.723300
0.002884	24530.800000	25.523500
0.001995	24843.300000	23.700900
0.001445	25468.300000	23.726600
0.000000	25780.800000	25.683600
0.002884	24530.800000	22.034000
0.001995	25155.800000	24.591700
0.005495	23593.200000	25.728900
0.001000	25468.300000	23.859800
0.001445	25155.800000	23.509800
0.007586	22968.200000	26.849500
0.003802	24218.200000	24.954800
0.005495	23593.200000	24.513200
0.001000	25780.800000	23.323700
0.007943	23280.700000	24.432900
0.002884	24530.800000	24.707000
0.003802	24530.800000	24.593900
0.005495	23905.700000	24.775000
0.001445	25155.800000	23.830700
0.007943	23280.700000	24.403300
0.001000	25468.300000	26.536600
0.001445	25780.800000	25.125700
0.002884	24530.800000	24.493000
0.005754	23905.700000	24.653400
0.003981	24218.200000	25.716100
0.002884	24843.300000	25.268500
0.001000	25468.300000	24.702200
0.001995	24843.300000	25.312700
0.007943	22968.200000	24.493500
0.005754	23905.700000	24.263200
0.003020	24530.800000	23.957800
0.001514	25155.800000	25.159200
0.003981	24218.200000	24.241800
0.001995	24843.300000	24.048100
0.003020	24530.800000	23.515500
0.005754	23905.700000	24.440600
0.007943	22968.200000	31.245200
0.001000	25468.300000	24.162100
0.007943	23280.700000	25.855800
0.001514	25468.300000	23.427100
0.005754	23593.200000	23.982200
0.003981	24218.200000	25.107800
0.002089	24843.300000	23.262000
0.003631	24218.200000	24.236700
0.001820	25155.800000	24.797700
0.005248	23905.700000	24.062300
0.007244	23280.700000	24.095400
0.000000	25780.800000	26.125400
0.005248	23593.200000	25.281200
0.001905	25155.800000	24.457700
0.001318	25155.800000	23.283900
0.003631	24218.200000	24.980100
0.000000	25780.800000	24.778300
0.007244	22968.200000	24.226200
0.002630	24530.800000	23.640400
0.007244	23593.200000	24.515000
0.003802	24218.200000	23.227700
0.001318	25155.800000	24.733800
0.000000	25780.800000	25.669200
0.007586	23280.700000	24.239400
0.001905	24843.300000	24.028000
0.003802	24218.200000	24.872800
0.005248	23905.700000	24.083800
0.000000	25780.800000	23.683000
