By	Pth	Multipactor Order
0.001259	56639.300000	41.886500
0.003162	51170.400000	44.880800
0.005495	48045.300000	41.598800
0.009120	47264.000000	44.683900
0.001995	55076.700000	44.053400
0.005495	48826.600000	42.649800
0.003162	51951.700000	44.116800
0.009120	48045.300000	43.027600
0.001259	56639.300000	45.073900
0.005495	48826.600000	43.487100
0.001995	55076.700000	44.929700
0.009120	47264.000000	44.135800
0.003311	51170.400000	42.525000
0.001259	56639.300000	44.011700
0.005754	47264.000000	40.399000
0.001995	55076.700000	43.096900
0.009120	47264.000000	42.626800
0.003311	51170.400000	43.662700
0.001259	56639.300000	41.811700
0.005754	46482.700000	42.946700
0.009550	47264.000000	42.995600
0.002089	53514.200000	42.812200
0.003311	51951.700000	43.370100
0.005754	47264.000000	42.101100
0.001259	55858.000000	43.883300
0.009550	47264.000000	41.929200
0.002089	53514.200000	44.251000
0.005754	47264.000000	43.432200
0.003311	50389.100000	40.923900
0.001318	55858.000000	41.148600
0.009550	48045.300000	42.076300
0.005754	47264.000000	41.991000
0.002089	54295.500000	43.535900
0.003311	51170.400000	45.131600
0.009550	46482.700000	44.945300
0.001318	56639.300000	41.507800
0.006026	47264.000000	41.656800
0.002089	54295.500000	42.832300
0.003467	51951.700000	43.278300
0.009550	46482.700000	44.810300
0.006026	48826.600000	42.995900
0.001318	56639.300000	44.696500
0.002089	54295.500000	43.775700
0.003467	51170.400000	44.131000
0.006026	48045.300000	42.613300
0.010000	48045.300000	44.087400
0.001318	56639.300000	42.836000
0.010000	48045.300000	42.503900
0.006026	48826.600000	42.258900
0.003467	51951.700000	44.383400
0.002188	54295.500000	40.773000
0.010000	47264.000000	40.019300
0.015849	46482.700000	42.507800
0.001318	56639.300000	41.658600
0.003467	50389.100000	44.945900
0.010000	48045.300000	45.071000
0.002188	55076.700000	39.732200
0.015849	47264.000000	41.800200
0.001380	56639.300000	41.206500
0.010000	46482.700000	47.583800
0.003467	51951.700000	41.808400
0.015849	47264.000000	42.731600
0.002188	54295.500000	40.801500
0.001380	56639.300000	41.386000
0.010471	47264.000000	44.874200
0.015849	46482.700000	44.811800
0.003631	50389.100000	38.546100
0.002188	52732.900000	44.641600
0.010471	48045.300000	43.648300
0.001380	55858.000000	44.984100
0.016596	47264.000000	41.315900
0.002188	54295.500000	40.896600
0.003631	51951.700000	44.990100
0.010471	48045.300000	42.353800
0.001380	55858.000000	42.926500
0.016596	46482.700000	43.788800
0.010471	45701.500000	40.416400
0.002291	53514.200000	43.609100
0.003631	50389.100000	43.936400
0.016596	47264.000000	43.412700
0.010471	48045.300000	43.911100
0.001380	56639.300000	42.460300
0.002291	52732.900000	41.913500
0.003631	50389.100000	45.122400
0.010965	47264.000000	40.012400
0.016596	46482.700000	45.144200
0.001445	56639.300000	44.362700
0.002291	53514.200000	45.018700
0.003631	51170.400000	40.561800
0.010965	47264.000000	39.656300
0.016596	47264.000000	42.674900
0.003802	49607.800000	45.108200
0.010965	47264.000000	44.401600
0.017378	47264.000000	42.322300
0.001445	56639.300000	44.801200
0.002291	54295.500000	43.438300
0.003802	50389.100000	40.348700
0.010965	47264.000000	45.179400
0.017378	47264.000000	40.202200
0.002291	53514.200000	40.314800
0.001445	56639.300000	42.836100
0.010965	46482.700000	43.580600
0.017378	46482.700000	40.441300
0.003802	50389.100000	41.586800
0.011482	47264.000000	42.158500
0.002399	54295.500000	41.407500
0.001445	55858.000000	43.340200
0.017378	47264.000000	42.285600
0.025119	47264.000000	41.914700
0.011482	48045.300000	42.005100
0.025119	47264.000000	42.953500
0.017378	48045.300000	42.731300
0.001445	55076.700000	42.892700
0.002399	53514.200000	41.895700
0.011482	47264.000000	45.179200
0.025119	46482.700000	41.018600
0.018197	46482.700000	42.137400
0.039811	47264.000000	40.967100
0.011482	46482.700000	41.574500
0.001514	57420.500000	39.589700
0.026303	46482.700000	40.735800
0.018197	46482.700000	41.084300
0.039811	47264.000000	45.242100
0.011482	48045.300000	40.801100
0.063096	46482.700000	40.816600
0.026303	48045.300000	41.912700
0.018197	46482.700000	42.807600
0.041687	46482.700000	55.328800
0.066069	46482.700000	43.177200
0.012023	46482.700000	44.080100
0.018197	47264.000000	41.279800
0.026303	47264.000000	40.082200
0.041687	46482.700000	44.594300
0.012023	45701.500000	41.703300
0.066069	46482.700000	41.594400
0.026303	47264.000000	40.745700
0.018197	47264.000000	38.789300
0.066069	46482.700000	40.022900
0.012023	46482.700000	44.484000
0.041687	48045.300000	43.325500
0.026303	46482.700000	47.279900
0.019055	45701.500000	42.897600
0.012023	47264.000000	42.449700
0.041687	47264.000000	42.494100
0.066069	47264.000000	41.837400
0.019055	47264.000000	40.857300
0.027542	47264.000000	44.868700
0.012023	47264.000000	43.559700
0.041687	46482.700000	42.624900
0.066069	47264.000000	41.801500
0.027542	46482.700000	44.112700
0.019055	45701.500000	42.688800
0.043652	48045.300000	45.070300
0.012589	48045.300000	42.433500
0.069183	47264.000000	43.439400
0.027542	47264.000000	42.477600
0.012589	46482.700000	42.804600
0.019055	47264.000000	41.516400
0.043652	47264.000000	41.546900
0.069183	46482.700000	38.153700
0.027542	47264.000000	42.651800
0.012589	47264.000000	48.540400
0.019055	46482.700000	44.835400
0.043652	46482.700000	48.786200
0.069183	46482.700000	46.428500
0.012589	48045.300000	42.309700
0.027542	47264.000000	41.461700
0.019953	46482.700000	42.932600
0.043652	46482.700000	41.713400
0.069183	47264.000000	45.036700
0.012589	46482.700000	43.368600
0.028840	46482.700000	40.450500
0.019953	47264.000000	44.723100
0.069183	46482.700000	43.870800
0.043652	48045.300000	39.616800
0.013183	46482.700000	41.754900
0.028840	45701.500000	42.122000
0.019953	47264.000000	41.879000
0.072444	46482.700000	41.991700
0.028840	46482.700000	41.249500
0.045709	48045.300000	42.677900
0.013183	47264.000000	43.878200
0.019953	46482.700000	44.257400
0.072444	46482.700000	43.845600
0.028840	46482.700000	43.932500
0.013183	47264.000000	44.910800
0.045709	45701.500000	44.369100
0.019953	44920.200000	43.119800
0.013183	46482.700000	43.657200
0.072444	46482.700000	39.710800
0.028840	48826.600000	43.650200
0.045709	46482.700000	42.183500
0.020893	47264.000000	42.405800
0.013183	47264.000000	40.550700
0.030200	47264.000000	42.420800
0.072444	47264.000000	42.473200
0.045709	47264.000000	43.607900
0.020893	48045.300000	41.600000
0.030200	47264.000000	43.836300
0.013804	48045.300000	44.883600
0.072444	46482.700000	43.635900
0.020893	46482.700000	44.516100
0.045709	47264.000000	42.903100
0.030200	47264.000000	41.864200
0.013804	46482.700000	41.584200
0.075858	47264.000000	44.346100
0.047863	47264.000000	42.169900
0.020893	48045.300000	43.562500
0.030200	47264.000000	43.341400
0.013804	48045.300000	43.426700
0.075858	47264.000000	40.550600
0.047863	46482.700000	39.635000
0.020893	47264.000000	41.640800
0.030200	47264.000000	44.738900
0.013804	46482.700000	43.478000
0.075858	46482.700000	43.731600
0.047863	47264.000000	44.119600
0.021878	46482.700000	39.857800
0.031623	47264.000000	40.604700
0.013804	48826.600000	44.997400
0.075858	47264.000000	43.658500
0.047863	47264.000000	43.921400
0.021878	47264.000000	44.413800
0.031623	46482.700000	40.271200
0.014454	46482.700000	44.261700
0.047863	46482.700000	41.961400
0.075858	46482.700000	42.733200
0.031623	46482.700000	41.931300
0.021878	47264.000000	41.080100
0.014454	47264.000000	45.484100
0.050119	46482.700000	47.919700
0.031623	47264.000000	42.354700
0.079433	46482.700000	44.635500
0.021878	47264.000000	45.033200
0.014454	47264.000000	40.294000
0.050119	47264.000000	45.197700
0.031623	47264.000000	40.290200
0.021878	48045.300000	40.495600
0.079433	46482.700000	40.034700
0.014454	46482.700000	43.757900
0.050119	46482.700000	44.324300
0.079433	47264.000000	43.601700
0.033113	47264.000000	40.202200
0.022909	45701.500000	44.359800
0.014454	47264.000000	40.956300
0.050119	47264.000000	42.888500
0.033113	46482.700000	44.146200
0.022909	47264.000000	44.649500
0.079433	46482.700000	42.593800
0.015136	46482.700000	44.428600
0.050119	46482.700000	41.572400
0.022909	48045.300000	44.446800
0.033113	46482.700000	43.787800
0.079433	47264.000000	43.923600
0.015136	46482.700000	44.871600
0.052481	48045.300000	41.828100
0.022909	46482.700000	42.957800
0.015136	48045.300000	43.720600
0.033113	47264.000000	40.972400
0.083176	47264.000000	42.355900
0.052481	47264.000000	43.777700
0.022909	46482.700000	42.859900
0.033113	46482.700000	43.918600
0.015136	46482.700000	44.688100
0.083176	46482.700000	40.798100
0.052481	45701.500000	45.231200
0.023988	48045.300000	38.701000
0.015136	46482.700000	44.813700
0.034674	46482.700000	39.025400
0.052481	46482.700000	41.430100
0.083176	45701.500000	37.638800
0.034674	47264.000000	41.001400
0.015849	47264.000000	42.871600
0.023988	46482.700000	44.405600
0.052481	47264.000000	41.461200
0.083176	47264.000000	42.042200
0.104713	46482.700000	42.991700
0.034674	47264.000000	41.000300
0.023988	46482.700000	41.272200
0.054954	46482.700000	41.586800
0.083176	46482.700000	42.127100
0.104713	47264.000000	44.332300
0.023988	47264.000000	41.375600
0.034674	46482.700000	43.158000
0.054954	47264.000000	40.787600
0.087096	47264.000000	42.246100
0.034674	46482.700000	38.643800
