Bx	Pth
0.010476	27810.700000
0.010476	27185.700000
0.010476	27810.700000
0.002595	30310.900000
0.004642	29060.800000
0.004642	29685.900000
0.002595	30310.900000
0.004642	28435.800000
0.005214	29060.800000
0.002915	30310.900000
0.005214	28435.800000
0.002915	30310.900000
0.005214	28435.800000
0.002915	29685.900000
0.002915	30310.900000
0.005214	28435.800000
0.005214	29060.800000
0.002915	30310.900000
0.005857	28435.800000
0.005857	28435.800000
0.003275	30310.900000
